pebble_id,intact_internal_bonds,initial_internal_bonds,final_broken_internal_bonds,initial_x,initial_y,initial_z
108,5876,5876,0,0.00381177,0.000258461,0.00102589
109,5876,5876,0,0.00100507,-0.0034678,0.00102857
110,5876,5876,0,-0.00402715,-0.00417445,0.00103691
111,5876,5876,0,-0.00500039,-0.00280516,0.00103951
112,5876,5876,0,-0.00369945,-0.00190724,0.00107016
113,5876,5876,0,-0.00244764,0.000296227,0.00108614
114,5876,5876,0,-0.00307774,-0.00334988,0.00108952
115,5876,5876,0,-0.000794986,-0.00324657,0.00110018
116,5876,5876,0,0.00338436,-0.00133304,0.00110094
117,5876,5876,0,0.00356535,0.00420166,0.0011115
118,5876,5876,0,-0.00344312,-0.000908312,0.00112462
119,5876,5876,0,0.00409874,-0.00233013,0.00113095
120,5876,5876,0,-0.0045714,0.00384548,0.00114422
121,5876,5876,0,0.000370796,0.000380915,0.00114575
122,5876,5876,0,0.000910471,-0.00164343,0.00115848
123,5876,5876,0,-0.00138082,-0.00411876,0.00116311
124,5876,5876,0,0.00424935,-0.000836265,0.00116871
125,5876,5876,0,3.48401e-05,-0.000560289,0.00117576
126,5876,5876,0,-0.00182097,0.00223557,0.00122119
127,5876,5876,0,-0.00500024,-0.00404105,0.00123229
128,5876,5876,0,-0.00341264,8.4346e-05,0.00123877
129,5876,5876,0,-0.00238119,-0.00117568,0.00124152
130,5876,5876,0,-0.000980804,0.000343322,0.00124179
131,5876,5876,0,0.00186617,0.00487205,0.00124441
132,5876,5876,0,-0.00440233,0.000331854,0.00124444
133,5876,5876,0,0.00131901,7.97845e-05,0.00124534
134,5876,5876,0,-0.00402483,0.00125745,0.00124798
135,5876,5876,0,-0.00459392,0.00215223,0.00124808
136,5876,5876,0,0.00132725,-0.00254773,0.00125074
137,5876,5876,0,-0.00169342,0.00425352,0.00125556
138,5876,5876,0,-0.00269498,-0.00212476,0.00125589
139,5876,5876,0,0.00416972,0.00341863,0.00125777
140,5876,5876,0,-0.000975704,0.0033883,0.001263
141,5876,5876,0,-0.00114502,0.00150105,0.0012732
142,5876,5876,0,0.00192338,-0.00141659,0.00128291
143,5876,5876,0,-0.00260691,-0.00437781,0.00128365
144,5876,5876,0,0.00125225,0.0039786,0.00129276
145,5876,5876,0,-0.00404574,-0.00320782,0.00129589
146,5876,5876,0,0.00446707,0.000963422,0.00129624
147,5876,5876,0,0.000214326,0.00211899,0.00129934
148,5876,5876,0,0.00500018,-0.00388715,0.00130707
149,5876,5876,0,-0.00171497,-0.000345443,0.00131213
150,5876,5876,0,0.0025194,-0.00334383,0.00131378
151,5876,5876,0,0.00284438,0.0019402,0.00132255
152,5876,5876,0,0.00208448,-0.00431902,0.00132669
153,5876,5876,0,0.000699499,0.00481058,0.00134022
154,5876,5876,0,0.00358272,0.0026139,0.00134122
155,5876,5876,0,-0.00500001,-0.000923033,0.00134521
156,5876,5876,0,-0.001035,0.00500028,0.00134857
157,5876,5876,0,0.000633738,-0.00447952,0.00135005
158,5876,5876,0,-0.000753803,0.00241772,0.00135303
159,5876,5876,0,0.0049946,0.00277399,0.00135434
160,5876,5876,0,-0.00500018,0.0050002,0.00135471
161,5876,5876,0,-0.00200119,0.00330763,0.00135498
162,5876,5876,0,-0.00015014,-0.00156664,0.001356
163,5876,5876,0,-0.00212438,-0.00348036,0.00136101
164,5876,5876,0,0.00337843,0.00109611,0.00136106
165,5876,5876,0,0.00398104,-0.00402865,0.00136314
166,5876,5876,0,0.00246023,0.000197424,0.00136406
167,5876,5876,0,0.00109841,0.00119244,0.00136658
168,5876,5876,0,0.00302108,0.00500012,0.00136809
169,5876,5876,0,0.000820152,0.00308019,0.00137064
170,5876,5876,0,-0.00208639,0.0011812,0.0013791
171,5876,5876,0,8.36549e-05,-0.00363335,0.00137926
172,5876,5876,0,-0.00178963,-0.00252766,0.00138611
173,5876,5876,0,-0.00357196,0.00213603,0.00139413
174,5876,5876,0,-0.00307053,0.00100803,0.00141014
175,5876,5876,0,-0.0050005,0.00111558,0.00141131
176,5876,5876,0,-0.0018348,-0.00500003,0.00141238
177,5876,5876,0,-0.00375997,0.00311738,0.00141458
178,5876,5876,0,0.00500004,0.000121781,0.00142029
179,5876,5876,0,0.00300317,0.0034246,0.00142286
180,5876,5876,0,0.00500007,0.00499955,0.0014341
181,5876,5876,0,-0.000816006,-0.00230746,0.00144237
182,5876,5876,0,-0.000933544,-0.000953176,0.00145085
183,5876,5876,0,0.00202066,0.00324443,0.00146318
184,5876,5876,0,-0.00266616,0.00415909,0.00146609
185,5876,5876,0,-0.00320949,0.00500037,0.0014685
186,5876,5876,0,-0.00366476,0.00411061,0.00147164
187,5876,5876,0,-0.000467405,-0.00446219,0.00147354
188,5876,5876,0,0.0032373,-0.000420635,0.00148262
189,5876,5876,0,-0.00368074,-0.005,0.00148314
190,5876,5876,0,-0.00496067,-0.00191207,0.00148701
191,5876,5876,0,0.00500005,-0.00499601,0.00149947
192,5876,5876,0,0.00317569,-0.00222716,0.00150033
193,5876,5876,0,-0.00270049,0.00261104,0.00151247
194,5876,5876,0,-0.00498424,-0.00500024,0.00151353
195,5876,5876,0,-0.000300587,0.00102369,0.00151361
