timestep,reference_step,intact_bonds,broken_bonds_from_reference,fragment_count,largest_fragment_fraction,second_fragment_fraction,single_particle_fragment_fraction,largest_span_x_over_d,largest_span_y_over_d,largest_span_z_over_d,second_centroid_r_over_R,broken_edges,broken_core_fraction,broken_surface_fraction,broken_span_x_over_d,broken_span_y_over_d,broken_span_z_over_d,failure_mode_draft
195000,5000,11855,658,2,0.999,0.001,0.5,0.9040179830922198,0.8960466640594159,0.9077847370142029,0.3753050200936698,658.0,0.4848024316109423,0.0121580547112462,0.7324512164970177,0.6833453669381813,0.6671143059610081,surface_spall
200000,5000,11855,658,2,0.999,0.001,0.5,0.9040446067455951,0.8960575107330133,0.9071102711286958,0.3753050200936698,658.0,0.4848024316109423,0.0121580547112462,0.7324512164970177,0.6833453669381813,0.6671143059610081,surface_spall
205000,5000,11845,668,2,0.999,0.001,0.5,0.904068272215262,0.8960525804268327,0.9062583142206871,0.3753050200936698,668.0,0.4880239520958084,0.01347305389221557,0.7324512164970177,0.6833453669381813,0.7174453366057251,surface_spall
210000,5000,11842,671,3,0.504,0.495,0.3333333333333333,0.45729890834316195,0.8853232481165977,0.9071526717618492,0.3557287170579126,671.0,0.4858420268256334,0.01639344262295082,0.7324512164970177,0.7741561834481463,0.7174453366057251,through_split_or_bulk_fragmentation
215000,5000,11842,671,3,0.504,0.495,0.3333333333333333,0.4573023812508355,0.8853262063003061,0.9063164918336183,0.35592128423908526,671.0,0.4858420268256334,0.01639344262295082,0.7324512164970177,0.7741561834481463,0.7174453366057251,through_split_or_bulk_fragmentation
220000,5000,11841,672,3,0.504,0.495,0.3333333333333333,0.4574334031515239,0.885349871769973,0.905305779066594,0.35643540122453754,672.0,0.4851190476190476,0.01636904761904762,0.7324512164970177,0.7741561834481463,0.7601077690171274,through_split_or_bulk_fragmentation
225000,5000,11827,686,4,0.503,0.495,0.5,0.4562225692566289,0.8851773110536518,0.8972614915023173,0.3573284674731949,686.0,0.4752186588921283,0.03498542274052478,0.7324512164970177,0.7741561834481463,0.8270268148064935,through_split_or_bulk_fragmentation
230000,5000,11827,686,4,0.503,0.495,0.5,0.4562714384514911,0.8851802692373602,0.8967921263539235,0.3585544402892476,686.0,0.4752186588921283,0.03498542274052478,0.7324512164970177,0.7741561834481463,0.8270268148064935,through_split_or_bulk_fragmentation
235000,5000,11827,686,4,0.503,0.495,0.5,0.45641496952502086,0.8851911159109574,0.8958474796897193,0.3596950844382611,686.0,0.4752186588921283,0.03498542274052478,0.7324512164970177,0.7741561834481463,0.8270268148064935,through_split_or_bulk_fragmentation
240000,5000,11827,686,4,0.503,0.495,0.5,0.456533040497434,0.8852098510744437,0.8947746450648196,0.360846354630594,686.0,0.4752186588921283,0.03498542274052478,0.7324512164970177,0.7741561834481463,0.8270268148064935,through_split_or_bulk_fragmentation
245000,5000,11814,699,5,0.502,0.495,0.6,0.45758959525132553,0.8850718025013867,0.8835266445443848,0.3619008789198386,699.0,0.4663805436337625,0.05150214592274678,0.7324512164970177,0.7741561834481463,0.8961630192852782,through_split_or_bulk_fragmentation
250000,5000,11814,699,5,0.502,0.495,0.6,0.45808714202984757,0.8850146109496917,0.8836360973415943,0.3626293567953814,699.0,0.4663805436337625,0.05150214592274678,0.7324512164970177,0.7741561834481463,0.8961630192852782,through_split_or_bulk_fragmentation
255000,5000,11803,710,6,0.502,0.494,0.6666666666666666,0.4585232966358087,0.8849613636429412,0.8836242646067609,0.363663405239019,710.0,0.4591549295774648,0.06619718309859154,0.7324512164970177,0.7741561834481463,0.8961630192852782,through_split_or_bulk_fragmentation
260000,5000,11801,712,6,0.502,0.494,0.6666666666666666,0.45870007769422055,0.8849662939491217,0.8826076354723199,0.3643626347277053,712.0,0.45786516853932585,0.06882022471910113,0.7324512164970177,0.7741561834481463,0.8961630192852782,through_split_or_bulk_fragmentation
265000,5000,11796,717,6,0.502,0.494,0.6666666666666666,0.45887004506949075,0.884984043051372,0.8813622401310988,0.3644924547836089,717.0,0.45467224546722457,0.07531380753138076,0.7324512164970177,0.7741561834481463,0.8961630192852782,through_split_or_bulk_fragmentation
270000,5000,11773,740,9,0.501,0.492,0.7777777777777778,0.4599323189785518,0.8848351478047177,0.8764388363791455,0.3660843790156961,740.0,0.44054054054054054,0.1,0.7324512164970177,0.7741561834481463,0.8961630192852782,through_split_or_bulk_fragmentation
275000,5000,11773,740,9,0.501,0.492,0.7777777777777778,0.46015456732056115,0.884812468396287,0.8756144891857482,0.3681739804731543,740.0,0.44054054054054054,0.1,0.7324512164970177,0.7741561834481463,0.8961630192852782,through_split_or_bulk_fragmentation
