timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
15001,60,2.01092,26,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,61,1.85119,34,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,62,1.36101,51,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,63,2.22541,17,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,64,1.45336,47,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,65,2.14099,20,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,66,2.46598,13,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,67,1.31929,55,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,68,2.5966,12,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,69,1.21549,60,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,70,1.76189,38,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,71,1.34648,53,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,72,2.72205,8,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,73,1.00118,67,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,74,2.44911,14,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,75,2.13762,21,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,76,1.9981,27,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,77,2.75326,7,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,78,1.14904,62,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,79,1.8549,33,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,80,2.87024,4,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,81,1.49529,44,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,82,1.931,28,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,83,2.07898,23,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,84,2.61556,11,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,85,1.68571,42,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,86,3.17863,2,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,87,2.13609,22,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,88,1.90703,30,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,89,1.04967,64,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,90,2.70696,9,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,91,2.94082,3,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,92,0.917889,71,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
