timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
90000,11,2.24635,18,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,12,0.494971,99,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,13,0.498614,76,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,14,0.498352,77,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,15,0.496528,95,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,16,0.497748,79,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,17,0.497555,82,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,18,0.496646,94,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,19,0.499849,74,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,20,0.496893,89,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,21,1.20503,66,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,22,1.42969,52,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,23,1.39629,56,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,24,0.497139,86,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,25,1.43474,51,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,26,0.709228,73,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,27,0.496768,91,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,28,1.43732,49,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,29,0.497716,81,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,30,0.991983,70,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,31,0.496653,93,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,32,1.37979,57,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,33,1.60079,42,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,34,1.42701,54,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,35,1.4282,53,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,36,2.08406,28,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,37,0.496918,88,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,38,1.95194,33,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,39,1.306,60,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,40,1.82941,40,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,41,1.07792,69,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,42,1.29574,61,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,43,1.26672,63,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,44,0.496969,87,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,45,0.924338,71,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,46,1.89332,37,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,47,1.59868,43,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,48,1.43778,48,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,49,1.20874,65,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,50,2.17416,21,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,51,2.14154,23,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,52,0.498811,75,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,53,1.2669,62,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
