id,atom1,atom2,length_mm
331,12,173,0.11170867771072322
332,12,197,0.22800693196005994
333,12,202,0.22667069943959384
334,12,220,0.1996071163191211
335,12,225,0.1208514340436396
336,12,234,0.2274058304387632
337,12,238,0.18595052103814153
338,12,245,0.12650511470615775
339,12,247,0.1782593417945118
340,13,59,0.15633736235962914
341,13,61,0.1423258060363656
342,13,79,0.24140479962259556
343,13,97,0.15316749969397936
344,13,105,0.19788246836598591
345,13,130,0.24343644417144308
346,13,141,0.17770292048180564
347,13,156,0.20115184546859938
348,13,165,0.22237881550895267
349,13,168,0.17129454214197423
350,13,171,0.14735534044621243
351,13,183,0.11805606447527538
352,13,184,0.21528327485544838
353,13,209,0.117016436084912
354,13,211,0.19435973110875646
355,13,212,0.11307426471527916
356,13,231,0.13641803086650722
357,13,232,0.23447984598934665
358,13,233,0.21855966407251115
359,13,236,0.22371464697515123
360,14,20,0.12523803621112248
361,14,21,0.22977647983162314
362,14,30,0.19336679113745336
363,14,74,0.2075327458136059
364,14,92,0.11091795357739238
365,14,119,0.20843832250073482
366,14,122,0.21788547424466942
367,14,124,0.22958743563071202
368,14,128,0.21913706289663584
369,14,134,0.19730839547421603
370,14,150,0.1796573791511885
371,14,176,0.19150738347696716
372,14,198,0.1632474370356427
373,14,200,0.21122341468994837
374,14,201,0.22954434832758866
375,14,206,0.11678617614584443
376,14,207,0.1848382103413836
377,14,211,0.2280398113048416
378,14,217,0.23607457336676452
379,14,224,0.24784149476441597
380,14,228,0.13572907247488888
381,14,241,0.18941829202929136
382,15,41,0.19385735792562314
383,15,75,0.11691588432179863
384,15,78,0.15545756128846475
385,15,81,0.15841391897485652
386,15,86,0.2410720774062906
387,15,90,0.19244812612241488
388,15,91,0.21023358680031037
389,15,95,0.18936191385364548
390,15,116,0.2070338827432065
391,15,125,0.15536971744249495
392,15,131,0.1888092438114706
393,15,146,0.230124422350424
394,15,161,0.23364755201319914
395,15,164,0.18602950634064888
396,15,173,0.21070817139654785
397,15,175,0.13856647516188997
398,15,178,0.22647873492893647
399,15,181,0.1264242282017947
400,15,195,0.11518887970065327
401,15,202,0.1255753867733051
402,15,220,0.22608726271675256
403,15,237,0.11931810948011545
404,15,245,0.1781366534077197
405,16,28,0.21256567917648742
406,16,33,0.1434300225877268
407,16,34,0.12661894803077076
408,16,42,0.1954500671370804
409,16,55,0.127864129385303
410,16,64,0.1926563009191621
411,16,75,0.2457904146346446
412,16,77,0.12107072290375552
413,16,81,0.20541239399087008
414,16,82,0.18014057286819504
415,16,83,0.20334248549335465
416,16,87,0.16696747074569387
417,16,88,0.22723335003317233
418,16,90,0.1465690313482179
419,16,94,0.2334521315520723
420,16,102,0.14627760772485027
421,16,112,0.2037733727385698
422,16,133,0.2286295678960631
423,16,144,0.20149303311134711
424,16,145,0.19977628908979492
425,16,161,0.2322143064099261
426,16,164,0.18166334909740123
427,16,180,0.14283708474745668
428,16,222,0.16377401259048477
429,16,238,0.11531419930116982
430,16,239,0.23375779347937142
431,16,245,0.1114318028036045
432,16,246,0.18357598776449677
433,16,247,0.11783359837053736
434,17,22,0.21404025834077572
435,17,27,0.18848131750195476
436,17,29,0.21419676786766506
437,17,32,0.16648462373156125
438,17,43,0.19549551549105382
439,17,47,0.23385426194542225
440,17,58,0.17719574906203417
441,17,63,0.16568620228058692
442,17,84,0.19282063990526788
443,17,93,0.23485325092524792
444,17,96,0.2309179618938215
445,17,103,0.158168694178816
446,17,106,0.1952001967300972
447,17,108,0.19425431796474305
448,17,109,0.17115903465330828
449,17,115,0.1675788706167994
450,17,135,0.1264404571950713
451,17,149,0.14999009450141096
452,17,167,0.20792478543554602
453,17,174,0.11700704052436042
454,17,179,0.19235119212288967
455,17,188,0.11622411542987864
456,17,227,0.11597694212514059
457,17,230,0.15401652035152738
458,17,244,0.21562131277290725
459,18,36,0.15028902284553478
460,18,52,0.2392138116172188
461,18,54,0.19731894380991627
462,18,85,0.17668009650068542
463,18,95,0.2496762573612323
464,18,100,0.215390316242714
465,18,113,0.2007988085960201
466,18,116,0.24644648589387075
467,18,131,0.24231617821446622
468,18,138,0.21181116262741528
469,18,142,0.1294469668764819
470,18,185,0.20924822581016359
471,18,193,0.11795189183409051
472,18,203,0.1642359142570169
473,18,213,0.10919055528256268
474,18,221,0.23772845639858703
475,18,225,0.22574610548703736
476,18,229,0.22265878267930891
477,18,235,0.2252856282594062
478,19,26,0.22478688235699043
479,19,28,0.1817994726216748
480,19,33,0.16393279995934287
481,19,39,0.24866937710076847
482,19,44,0.2368112023316171
483,19,46,0.15685270639453996
484,19,62,0.24172224898228034
485,19,66,0.24818859383786435
486,19,70,0.13344048083253326
487,19,71,0.1420819486217865
488,19,72,0.1695023260925261
489,19,77,0.1882836909997326
490,19,81,0.1961287376774086
491,19,84,0.20942672714880034
492,19,129,0.248324700918087
493,19,136,0.11935572776897203
494,19,137,0.12915219601129804
495,19,160,0.210898123288
496,19,161,0.15505829054711442
497,19,163,0.23911506452340425
498,19,171,0.21377679251255063
499,19,180,0.19830345213425488
500,19,191,0.12634692561604152
501,19,215,0.24910678794773963
502,19,232,0.2461754756669946
503,19,236,0.20369038128428973
504,19,245,0.23434620930086428
