id,atom1,atom2,length_mm
2041,87,339,0.18780583236716658
2042,87,357,0.1459184782475284
2043,87,366,0.07939575441243449
2044,87,386,0.18216529743253232
2045,87,397,0.18482467460321772
2046,87,436,0.16973404761430919
2047,87,454,0.10593295918568955
2048,87,497,0.18315118456769203
2049,88,91,0.17313373934223575
2050,88,124,0.08697636391446542
2051,88,143,0.13814995685154097
2052,88,145,0.17888591204290052
2053,88,164,0.13636347751976197
2054,88,167,0.16657172785159824
2055,88,174,0.17182671833775576
2056,88,184,0.15435546142887296
2057,88,190,0.1855305736925146
2058,88,196,0.18443349509401288
2059,88,250,0.15958253808953146
2060,88,273,0.1883328099341298
2061,88,287,0.18950639404599992
2062,88,293,0.0958212913612687
2063,88,301,0.15883386447545284
2064,88,304,0.17386245214339924
2065,88,306,0.16777911040907778
2066,88,308,0.0880854530022968
2067,88,309,0.10971555761630775
2068,88,327,0.13208403047317857
2069,88,347,0.11937999784064082
2070,88,361,0.10463523077489972
2071,88,392,0.1773221916579492
2072,88,396,0.09587344002128999
2073,88,408,0.11425476288845024
2074,88,427,0.17146265385157194
2075,88,467,0.18032955925400662
2076,88,480,0.1255384040153061
2077,88,488,0.1846877501001567
2078,88,496,0.16147570614746054
2079,89,98,0.1349252026905743
2080,89,101,0.16696503909794613
2081,89,133,0.13329380853685185
2082,89,141,0.16566826057094897
2083,89,152,0.18119647115819848
2084,89,155,0.1391941285617527
2085,89,177,0.1611076545256278
2086,89,193,0.1805589236649742
2087,89,194,0.10535774917094823
2088,89,212,0.11855857220031929
2089,89,222,0.15087211409854417
2090,89,232,0.10689103756673465
2091,89,240,0.18310003110529255
2092,89,246,0.1377083929458754
2093,89,263,0.1343244603433612
2094,89,280,0.16808887561606503
2095,89,282,0.13135074476597197
2096,89,285,0.11062170971871635
2097,89,313,0.1238870807576062
2098,89,357,0.1822459350752888
2099,89,366,0.18178429873673477
2100,89,397,0.13562217262692236
2101,89,412,0.16324184104639206
2102,89,425,0.12315119181033068
2103,89,436,0.07863368921558525
2104,89,462,0.16693251298860975
